respondent_id,region_str,psu,weight,age,female,educ_raw,income_k,trust_gov,trust_media,trust_science,trust_local,policy_support,voted_last_election,satisfaction
49,west,11,0.7304,26,0,3,35.7,3,4,1,5,4,1,6.5
50, northeast,25,1.4319,59,1,3,32.9,2,1,3,3,4,1,6.1
51,Midwest ,29,0.9276,21,0,4,34.7,1,1,4,4,4,0,8.0
52,Midwest ,5,1.3165,51,1,5,62.8,5,4,4,3,4,1,7.2
53, northeast,12,1.3053,33,0,2,34.8,3,5,5,5,4,0,7.2
54, northeast,12,0.829,32,1,1,15.4,3,-99,2,3,3,0,6.9
55, northeast,9,0.7043,27,1,3,11.7,2,2,1,4,1,1,6.9
56,west,24,0.7025,70,0,3,34.0,5,3,5,4,4,1,6.9
57, northeast,17,1.4731,37,0,4,36.6,2,1,1,2,3,0,4.9
58, northeast,18,1.3191,58,0,5,36.3,1,3,2,3,3,1,4.2
59,west,1,0.7713,54,1,1,35.7,1,1,1,1,2,0,5.2
60, northeast,14,1.3035,53,0,2,53.6,-99,1,1,1,3,1,5.1
61, northeast,19,1.46,54,1,3,50.1,1,1,1,1,4,1,7.6
62,west,5,0.7774,43,1,3,34.8,1,-99,1,2,2,1,6.2
63, northeast,28,1.6227,54,1,4,42.2,5,4,4,3,4,1,3.4
64,SOUTH,4,0.7647,86,1,3,38.5,2,2,4,2,4,1,5.1
65,west,5,0.7272,62,0,2,65.1,1,5,5,2,2,1,6.2
66,west,14,0.6558,64,1,2,147.7,2,3,4,4,2,1,8.9
67,SOUTH,9,0.9615,34,1,3,22.5,1,1,1,1,2,1,5.1
68,SOUTH,7,1.0473,33,0,3,38.3,4,5,5,5,4,1,5.8
69,west,10,0.9643,54,0,4,28.1,1,1,1,2,4,1,4.8
70,SOUTH,14,0.8815,58,0,3,24.5,3,5,4,4,4,1,8.6
71,west,28,0.5512,62,1,3,22.0,3,5,-99,1,4,1,5.7
72,west,8,0.6632,49,0,4,23.8,2,4,2,4,4,1,6.8
73,west,5,0.8668,22,1,2,24.3,5,-99,5,5,4,0,9.4
74, northeast,14,1.3947,57,1,2,N/A,4,2,4,4,4,0,6.5
75,west,1,0.7327,44,0,2,34.7,1,1,1,1,3,1,5.0
76,Midwest ,26,1.3791,49,1,1,66.6,5,-99,5,5,4,0,7.6
77,Midwest ,19,0.8179,44,1,3,33.2,3,4,3,1,4,1,7.9
78,west,12,0.6035,33,0,3,33.6,5,5,5,5,4,0,7.0
79,Midwest ,28,1.1592,73,0,4,35.7,1,3,5,2,3,1,7.0
80,Midwest ,6,1.1007,43,0,2,42.6,2,5,5,5,4,1,6.4
81,west,29,0.7207,32,0,2,20.3,2,5,4,4,3,0,6.6
82,Midwest ,6,1.405,78,0,1,42.4,1,3,3,3,4,1,7.1
83,west,25,0.7945,67,0,3,24.1,4,2,5,3,4,1,6.6
84,SOUTH,20,0.7044,34,0,4,36.1,5,4,4,3,4,1,5.7
85,Midwest ,28,1.2162,45,0,4,50.2,5,5,5,5,4,1,7.4
86,Midwest ,10,1.2239,60,1,4,15.1,1,1,1,1,2,1,6.6
87,Midwest ,30,1.0116,70,0,3,5.4,5,1,1,5,3,1,7.6
88,Midwest ,3,1.2639,51,1,3,46.2,4,3,4,4,4,1,7.0
89,Midwest ,21,1.3561,52,0,1,9.9,1,1,1,1,3,1,6.0
90,west,12,0.6511,25,0,3,28.4,5,5,5,5,4,0,6.6
91, northeast,28,1.5834,61,1,2,10.3,3,2,4,-99,4,1,5.7
92,Midwest ,7,1.2002,24,0,2,N/A,-99,5,4,5,4,0,7.1
93,west,24,0.726,43,1,2,16.0,2,1,4,5,3,1,5.5
94,SOUTH,7,0.7912,90,0,4,78.4,2,3,5,3,3,1,5.6
95,SOUTH,13,0.7451,36,1,4,43.6,2,4,5,3,4,1,7.6
96,SOUTH,11,0.8661,64,0,3,35.2,5,5,4,5,4,1,6.2
97,west,10,0.7088,35,1,4,58.1,2,1,4,-99,4,1,6.4
98,west,2,0.6787,34,1,2,25.4,1,1,3,3,4,0,6.5
99,west,11,0.7507,18,0,2,31.7,2,3,4,1,4,0,5.7
100,SOUTH,9,0.984,29,0,1,36.5,1,4,3,1,4,0,6.6
101,Midwest ,7,1.1113,31,1,3,39.4,5,3,4,5,4,0,6.9
102,Midwest ,29,0.8746,54,1,2,40.8,1,1,1,1,4,0,4.4
103,west,25,0.6158,REFUSED,1,3,26.4,-99,2,3,5,4,1,6.1
104, northeast,25,1.0439,45,0,1,37.4,4,2,4,4,4,0,4.1
105,SOUTH,18,1.043,27,0,3,60.4,5,4,4,4,4,1,7.8
106, northeast,18,1.4131,REFUSED,0,2,66.5,5,3,4,4,4,1,6.7
107,west,28,0.6015,54,1,3,10.7,4,4,5,3,4,0,4.4
108, northeast,1,1.5409,45,0,3,10.9,4,3,4,5,4,0,7.9
109,west,19,0.7692,45,1,2,20.5,3,3,1,1,3,1,6.5
110, northeast,18,1.5351,41,0,3,43.7,5,5,3,4,4,0,6.8
111,Midwest ,17,1.1089,61,0,2,40.5,2,3,5,4,3,1,8.4
112,west,14,0.7268,18,1,1,79.8,1,3,3,5,4,0,8.5
113,SOUTH,21,0.7228,65,1,3,38.8,3,2,5,3,4,1,6.9
114, northeast,6,1.5077,18,1,5,48.2,3,1,1,1,2,1,5.7
115,west,10,0.7215,REFUSED,1,3,50.1,2,5,1,1,3,0,3.9
116,SOUTH,4,0.8071,47,1,5,26.8,3,3,1,2,2,1,5.1
117,Midwest ,23,1.1522,REFUSED,1,5,45.0,2,3,4,5,4,1,7.4
118,west,16,0.6171,77,1,2,25.2,-99,4,3,1,4,0,5.2
119,west,18,0.7663,42,0,1,24.8,4,5,3,5,2,0,6.3
120, northeast,4,1.2111,18,0,3,31.1,4,5,3,1,4,0,5.0
121,Midwest ,4,1.226,54,1,1,27.1,4,4,3,3,4,0,6.4
122, northeast,23,1.6154,42,1,2,25.3,1,2,1,1,4,0,5.7
123, northeast,20,0.9009,47,1,3,56.2,3,5,3,4,4,1,7.0
124,SOUTH,26,0.733,53,1,3,21.3,2,1,3,5,4,1,6.3
125,SOUTH,13,0.9301,31,1,2,38.3,3,2,1,1,4,0,5.2
126,west,26,0.8115,25,0,1,63.4,3,3,2,5,4,1,6.3
127,SOUTH,12,0.6289,46,0,2,45.6,4,4,5,3,4,0,5.1
128,SOUTH,20,0.8271,44,1,4,,4,5,3,3,4,1,6.2
129,SOUTH,16,1.183,20,1,3,28.1,2,3,5,4,4,0,7.4
130,SOUTH,16,0.7831,70,1,2,32.1,1,1,3,3,3,0,3.7
131,west,10,0.8666,55,0,4,24.5,2,3,-99,2,4,1,6.1
132,west,21,0.6753,45,0,5,20.0,2,2,5,1,4,1,5.2
133,west,9,0.6816,52,0,2,23.3,2,2,3,2,2,0,7.0
134,SOUTH,18,0.9146,22,0,2,51.9,2,1,1,1,4,0,5.8
135, northeast,13,1.274,51,0,4,37.2,3,5,3,5,4,1,7.6
136,Midwest ,7,0.944,33,0,2,30.1,1,1,2,1,4,1,5.9
137,Midwest ,30,1.263,48,0,3,N/A,3,1,5,2,4,1,4.6
138,Midwest ,23,1.0204,42,1,2,47.0,4,4,4,-99,4,0,6.6
139,SOUTH,9,0.942,36,1,5,14.8,-99,5,5,5,4,1,5.8
140,Midwest ,16,1.1856,62,0,2,17.6,5,4,3,5,4,1,7.5
141,SOUTH,17,0.7135,58,0,3,34.8,4,4,2,3,4,0,6.8
142, northeast,18,1.7501,48,1,3,21.8,2,1,2,2,3,1,7.3
143,Midwest ,15,1.221,79,1,3,22.6,4,5,2,5,3,0,8.2
144, northeast,17,1.8793,36,1,4,23.7,5,5,5,5,4,1,6.1
145,SOUTH,26,0.7504,30,1,3,N/A,3,4,4,4,4,1,7.3
146,Midwest ,15,0.7937,31,1,4,N/A,4,1,-99,-99,4,1,6.7
147,SOUTH,28,0.8922,44,1,4,37.5,3,2,2,4,4,1,6.2
148,Midwest ,10,1.3267,44,1,3,20.6,1,1,1,1,4,1,4.4
149,west,6,0.6538,19,0,3,26.4,3,-99,3,5,4,0,6.5
150,Midwest ,6,1.0209,33,0,3,20.8,-99,5,4,4,3,0,4.9
151,west,1,0.7935,18,0,3,21.7,3,1,1,3,4,0,8.5
152,Midwest ,15,0.8398,44,1,2,33.8,5,5,5,4,4,1,5.7
153,Midwest ,9,1.1647,41,1,2,99.7,5,1,1,2,4,0,6.3
154, northeast,13,1.2236,35,0,3,21.8,5,3,3,3,4,1,6.8
155,SOUTH,29,0.8269,29,1,2,30.4,-99,3,3,2,4,0,4.2
156,west,17,0.8401,65,0,3,12.7,5,2,3,2,4,0,4.4
157,Midwest ,20,0.9722,24,0,3,72.2,5,5,5,5,4,1,6.1
158,SOUTH,4,0.5636,60,1,2,33.3,1,4,1,1,3,0,5.7
159,SOUTH,6,0.7418,59,0,4,32.2,5,1,3,3,4,1,4.1
160,Midwest ,22,0.8958,49,1,4,27.0,5,5,4,5,4,1,8.6
161,Midwest ,16,0.9407,28,0,3,21.6,2,5,3,5,4,0,6.7
162,Midwest ,7,1.1687,50,0,3,46.3,-99,-99,5,2,4,0,6.0
163,SOUTH,12,0.6836,56,1,2,21.6,1,1,1,3,4,1,6.2
164,Midwest ,16,1.3267,44,0,3,10.1,3,1,1,1,4,1,7.1
165,west,9,0.8238,36,0,3,34.6,2,3,5,3,3,0,6.7
166,SOUTH,11,0.8034,29,1,3,78.0,4,5,5,5,4,1,7.4
167,Midwest ,5,1.3221,57,1,2,14.2,5,5,2,5,4,0,9.5
168,west,8,0.716,42,1,2,43.6,5,3,3,3,4,1,4.5
169,west,16,0.6577,49,0,3,35.2,5,3,5,5,4,1,7.1
170,west,26,0.7711,58,1,4,30.5,1,1,1,1,3,0,5.9
171,west,22,0.5455,71,0,5,62.4,5,5,5,5,4,1,5.9
172,Midwest ,7,1.2586,53,0,3,17.4,4,1,1,2,4,1,6.1
173, northeast,10,1.6356,90,0,2,22.9,1,1,4,1,4,1,5.0
174,Midwest ,20,1.1973,69,0,4,68.8,1,5,4,1,2,1,4.8
175,SOUTH,17,0.8948,33,1,2,42.4,5,2,1,1,4,0,6.8
176, northeast,13,0.8596,18,0,4,20.1,1,1,1,1,3,0,3.8
177, northeast,27,1.149,55,1,1,91.3,3,5,3,2,4,1,5.7
178, northeast,17,1.5107,25,0,4,62.6,2,5,5,5,4,0,7.3
179,SOUTH,8,0.7598,45,0,3,15.7,3,1,3,5,4,0,6.7
180,Midwest ,10,0.9046,30,0,2,38.7,5,5,5,5,4,0,7.0
181,SOUTH,16,0.888,48,1,2,10.1,5,5,5,5,4,0,5.1
182,west,21,0.796,60,1,2,29.9,1,5,2,4,2,0,6.2
183,west,6,0.7737,45,0,2,79.8,2,3,5,1,4,1,5.1
184,west,30,0.7964,29,1,2,37.8,3,4,3,3,4,0,5.0
185, northeast,28,1.4763,52,0,3,45.3,3,2,1,4,4,1,7.3
186, northeast,9,1.7626,56,0,1,17.9,5,-99,5,5,4,0,8.2
187,Midwest ,27,1.1935,68,0,2,,5,3,2,5,4,1,5.8
188,Midwest ,19,1.0095,29,1,5,62.5,4,2,5,4,4,0,3.2
189,west,30,0.8206,45,1,2,19.0,1,1,3,1,2,0,4.9
190, northeast,22,1.2122,52,1,3,17.1,5,4,3,3,4,0,7.4
191,west,27,0.6585,37,1,4,82.7,5,1,1,1,3,1,5.3
192,west,1,0.6566,41,1,4,9.4,5,3,3,3,4,1,7.2
193,Midwest ,25,1.2183,REFUSED,1,3,N/A,5,4,5,4,4,1,4.4
194,Midwest ,13,1.2979,41,0,2,28.8,4,2,2,3,4,1,7.3
195,Midwest ,23,1.2104,76,1,3,39.7,4,2,3,2,4,0,4.4
196,SOUTH,22,0.8852,50,0,2,63.0,4,1,3,4,4,0,5.9
197,SOUTH,11,0.989,30,0,3,28.5,1,1,2,1,4,0,5.1
198,west,25,0.7315,41,1,2,54.8,5,-99,5,3,4,0,5.2
199,SOUTH,30,0.9171,58,0,4,21.3,4,3,5,3,4,1,6.5
200,Midwest ,28,1.1286,22,0,2,21.7,1,2,1,1,2,0,6.5
201,west,13,0.9531,68,1,1,19.7,4,5,5,5,4,0,6.9
202,west,11,0.4724,32,1,2,53.1,5,4,2,4,4,0,6.6
203,west,25,0.6253,37,1,1,30.8,3,1,1,1,4,0,6.9
204,Midwest ,10,1.1432,REFUSED,0,4,36.2,1,3,4,1,4,0,5.7
205, northeast,8,1.7529,59,1,3,26.2,5,3,4,2,4,0,5.5
206,SOUTH,21,0.8384,47,1,4,34.4,5,3,5,4,4,0,6.6
207,SOUTH,29,0.9732,74,1,3,29.3,5,4,1,2,4,1,5.0
208,SOUTH,26,0.9835,23,1,5,104.0,2,5,1,2,4,1,6.8
209,SOUTH,19,0.5745,30,0,3,25.3,5,5,5,5,4,0,7.1
210,SOUTH,5,0.7413,REFUSED,1,4,87.6,1,1,1,1,1,1,3.7
211,Midwest ,12,1.1477,71,0,4,36.7,-99,3,4,5,4,1,7.7
212,SOUTH,22,0.6941,51,1,3,71.6,2,2,1,2,4,1,5.8
213,west,4,0.7649,33,0,1,18.0,1,3,5,4,4,0,7.3
214,west,10,0.7926,18,1,3,116.2,1,-99,3,1,3,0,7.5
215, northeast,18,1.2549,32,1,1,73.0,4,4,3,4,4,0,6.8
216,Midwest ,16,1.1815,44,0,2,64.3,5,5,4,5,4,1,7.7
217,Midwest ,22,1.1099,23,0,2,59.4,1,3,4,1,3,0,5.0
218, northeast,14,1.2474,19,0,5,36.7,4,3,5,4,4,1,6.2
219,SOUTH,29,0.6634,46,1,3,22.1,4,3,3,3,4,0,5.3
220,SOUTH,6,0.638,47,0,4,30.2,2,2,2,5,4,1,7.5
221,Midwest ,23,0.9459,48,1,3,74.9,3,-99,2,5,4,0,5.3
222,SOUTH,18,0.7845,47,1,4,26.3,5,4,3,2,4,1,6.0
223,Midwest ,18,1.0798,44,1,4,34.7,5,-99,5,4,4,1,5.5
224, northeast,20,1.8755,73,1,2,25.6,2,5,3,1,3,1,6.1
225, northeast,26,1.451,67,0,3,110.1,4,1,3,2,4,1,7.9
226,SOUTH,10,0.8026,62,0,2,31.7,5,5,3,5,4,0,7.4
227,west,12,0.7236,66,1,2,46.3,3,5,3,-99,4,1,4.9
228,Midwest ,14,1.0897,37,0,3,90.2,2,1,1,2,2,0,4.7
229,Midwest ,8,0.9804,31,0,4,31.2,5,2,1,1,4,0,4.8
230,SOUTH,1,0.9557,77,1,3,10.3,5,3,3,-99,4,1,6.3
231,west,21,0.6207,49,1,2,31.8,5,4,5,5,4,0,6.3
232, northeast,1,1.3875,62,1,5,21.9,2,4,1,2,4,1,6.6
233,SOUTH,14,0.8019,47,1,3,23.4,4,4,3,2,4,1,6.6
234,SOUTH,5,1.1501,29,0,2,21.3,1,2,2,2,2,0,6.1
235,west,7,0.6624,40,1,4,81.6,3,1,3,2,2,0,4.0
236,west,14,0.7924,51,0,4,31.7,1,4,5,1,4,1,4.1
237,SOUTH,6,0.7281,47,1,3,45.2,4,3,3,2,4,1,3.7
238,SOUTH,18,0.8025,46,0,4,26.0,5,1,4,1,4,1,4.5
239,SOUTH,20,0.8749,34,0,4,10.0,1,1,2,2,4,1,4.0
240, northeast,1,1.4679,29,0,3,18.1,5,5,-99,5,4,0,8.2
241, northeast,21,0.8746,60,0,2,23.7,5,5,4,4,4,1,7.3
242, northeast,16,1.5384,80,0,2,66.6,-99,5,2,5,4,1,7.0
243,west,18,0.754,47,0,2,32.3,4,5,5,2,4,0,6.1
244, northeast,18,1.4577,61,0,1,N/A,2,1,2,-99,4,1,6.4
245,Midwest ,20,1.0549,72,0,2,16.3,5,5,5,5,4,1,5.9
246,west,24,0.6869,70,1,1,27.8,2,1,1,2,3,1,5.7
247, northeast,25,1.2053,32,0,2,32.1,5,4,5,3,4,0,5.8
248,Midwest ,26,1.0715,31,0,4,40.7,1,1,2,4,4,1,5.5
249,SOUTH,29,0.6246,55,1,4,47.3,5,3,5,2,4,1,6.6
250,Midwest ,6,1.1474,27,1,2,42.4,2,5,4,-99,4,0,6.1
251, northeast,3,1.4031,45,1,2,18.2,4,4,5,2,4,1,4.8
252,SOUTH,29,0.847,25,0,2,,2,3,3,3,3,0,5.8
253, northeast,11,1.6838,65,0,2,28.3,5,5,3,5,4,1,7.6
254,SOUTH,2,0.5695,45,0,2,75.3,5,5,5,5,4,1,9.8
255,Midwest ,16,0.9848,38,1,4,72.9,3,4,5,4,4,0,6.0
256,west,22,0.7895,44,1,5,33.7,3,2,4,1,4,0,6.3
257,west,11,0.7657,58,1,2,16.6,5,5,5,3,4,0,5.5
258, northeast,22,1.5418,39,0,3,49.0,3,3,1,2,2,1,2.0
259, northeast,16,1.3953,36,0,4,57.3,4,1,3,5,4,1,6.9
260,west,20,0.8618,57,1,2,28.9,5,3,1,4,4,1,6.8
261,west,6,0.905,50,0,2,26.2,4,2,3,5,4,0,5.6
262,SOUTH,4,0.6147,REFUSED,0,3,51.7,4,3,5,-99,4,1,6.3
263,west,30,0.5271,47,1,4,33.6,5,1,2,-99,4,0,7.7
264, northeast,29,1.7846,21,1,3,30.6,5,5,4,5,4,1,7.7
265,west,7,0.6637,60,1,4,33.8,5,5,3,4,4,0,4.9
266,SOUTH,3,0.667,47,1,3,65.4,5,5,4,5,4,1,8.1
267,Midwest ,8,0.833,45,0,3,48.0,5,5,4,5,4,0,6.5
268, northeast,4,1.2999,35,1,3,17.9,1,1,1,3,2,0,8.0
269,Midwest ,4,1.0846,37,0,2,31.0,5,3,5,5,4,1,8.5
270,west,6,0.6468,18,0,4,43.8,1,5,3,5,4,0,7.3
271,Midwest ,23,1.207,50,1,2,22.5,1,2,2,1,3,1,4.2
272, northeast,28,1.2639,50,0,4,48.2,5,5,5,3,4,1,6.8
273,west,21,0.9041,68,1,3,24.3,5,5,4,5,4,0,6.4
274,west,21,0.856,38,0,4,22.4,4,1,3,2,4,0,4.5
275,west,30,0.8283,52,1,4,14.1,5,4,5,4,4,1,5.8
276,SOUTH,20,0.5807,63,0,2,N/A,1,2,4,1,4,0,6.3
277,Midwest ,17,1.2549,60,1,3,46.0,5,5,5,5,4,0,8.7
278,SOUTH,6,0.9763,69,0,3,23.2,-99,5,4,3,4,1,5.2
279,west,3,0.696,72,1,2,76.5,4,1,1,1,4,1,4.1
280, northeast,2,1.5419,48,0,5,19.1,1,1,1,1,3,1,6.6
281,SOUTH,13,0.6938,20,0,2,22.5,4,1,2,2,3,0,8.6
282,west,25,0.9374,35,0,3,54.6,2,1,1,1,4,1,3.0
283,west,21,0.8424,36,1,3,42.0,2,4,-99,1,2,0,4.3
284,west,21,0.603,73,0,2,51.9,4,5,4,2,4,1,5.8
285,SOUTH,2,1.049,27,1,2,17.8,1,1,1,1,2,1,6.7
286,Midwest ,4,1.0909,48,0,4,40.7,1,2,1,1,3,0,3.8
287,SOUTH,23,0.9023,37,0,2,12.5,2,1,-99,1,4,0,5.4
288,SOUTH,7,0.8848,29,1,3,56.9,1,1,2,1,1,1,5.4
289,SOUTH,13,0.8991,28,1,3,61.9,1,-99,2,-99,1,0,5.9
290, northeast,21,1.3733,42,0,3,51.3,2,1,2,3,2,0,7.7
291,west,18,0.7535,39,1,4,14.9,2,1,1,-99,4,1,6.2
292,Midwest ,11,1.0978,49,0,3,17.0,3,5,2,5,4,1,8.5
293,Midwest ,29,1.2045,33,0,1,56.3,5,5,4,5,4,0,5.9
294,west,28,0.7548,43,0,4,20.3,4,3,3,3,4,1,6.3
295,SOUTH,19,1.0104,26,0,4,N/A,2,4,2,1,2,0,6.3
296,west,15,0.6304,51,0,3,27.8,3,2,5,4,4,0,7.4
297,SOUTH,11,1.0487,REFUSED,0,2,30.1,5,5,5,3,4,0,7.9
298,west,22,0.7097,47,1,3,47.5,-99,2,4,4,4,1,6.3
299, northeast,15,1.5344,64,0,4,49.2,2,4,4,4,4,0,5.6
300,SOUTH,17,0.8019,42,0,3,16.2,1,3,1,1,4,0,5.8
301, northeast,8,1.1984,36,1,1,22.6,4,5,3,3,4,1,7.9
302,Midwest ,29,1.1902,54,1,2,17.8,2,-99,2,4,2,1,6.6
303,west,13,0.749,31,0,4,74.4,3,2,1,2,4,1,6.2
304,west,16,0.9173,52,1,2,43.1,4,1,3,2,4,1,5.8
305,Midwest ,19,1.0043,52,0,2,57.3,2,-99,5,4,3,0,6.6
306,SOUTH,9,0.759,36,0,2,N/A,-99,4,5,5,4,0,8.5
307,Midwest ,14,1.0827,68,0,4,185.9,1,2,1,3,3,1,8.0
308, northeast,30,1.0905,46,1,4,17.2,5,5,-99,5,4,1,8.3
309,SOUTH,16,0.6749,64,0,3,88.7,1,3,2,3,3,1,8.9
310,west,11,0.702,41,0,4,22.8,4,-99,2,2,4,0,6.3
311, northeast,7,1.3624,48,1,4,31.0,5,5,5,5,4,1,6.0
312, northeast,26,0.949,42,0,4,N/A,1,4,4,2,4,1,7.0
313,SOUTH,28,0.8072,REFUSED,0,3,31.6,3,2,-99,2,4,1,6.6
314, northeast,11,1.5816,44,0,3,71.3,1,2,4,1,4,0,4.1
315, northeast,9,1.3802,52,1,2,54.5,1,2,2,1,4,1,2.0
316,SOUTH,7,1.0069,21,1,2,32.0,1,4,1,1,4,0,4.9
317,SOUTH,4,0.9874,32,1,2,41.1,3,1,3,1,3,1,5.9
318,SOUTH,2,0.6871,50,0,2,37.8,1,2,1,1,3,0,6.5
319, northeast,26,1.1783,42,0,5,55.9,4,2,3,4,4,1,8.4
320,SOUTH,8,0.8111,42,0,2,35.7,3,4,4,5,4,1,6.0
321,Midwest ,16,1.5252,73,1,3,25.1,5,4,3,-99,4,1,3.0
322, northeast,22,1.2075,38,1,3,35.8,2,4,3,3,4,0,6.7
323,Midwest ,16,0.8735,52,0,2,34.1,4,3,3,4,4,0,7.9
324,SOUTH,22,0.8266,41,0,4,42.8,5,4,4,4,4,1,7.3
325, northeast,8,1.245,42,0,2,90.7,1,2,1,1,2,1,6.5
326, northeast,17,1.2013,59,0,4,24.9,5,5,4,5,4,1,6.1
327, northeast,4,1.5863,42,0,4,14.4,5,2,1,2,4,0,4.8
328, northeast,29,1.1463,48,1,2,N/A,3,5,5,4,4,1,6.7
329,west,29,0.7655,81,1,4,31.2,2,5,4,2,4,1,5.6
330,Midwest ,22,0.8916,64,0,4,73.0,1,3,-99,3,3,1,8.1
331,Midwest ,25,0.9663,59,1,3,14.7,5,5,5,4,4,1,4.3
332,west,26,0.8053,47,1,2,18.3,5,5,5,-99,4,1,5.7
333,Midwest ,10,1.1735,34,0,1,64.9,5,-99,5,5,4,0,7.2
334,SOUTH,14,0.8772,18,1,5,14.5,5,-99,5,5,4,0,9.0
335,SOUTH,6,0.8125,55,0,4,47.9,1,1,3,1,4,1,5.0
336, northeast,17,1.4368,36,1,3,38.9,2,1,1,4,4,1,5.7
337, northeast,29,1.4281,47,0,3,37.3,4,3,5,5,4,1,6.9
338,SOUTH,22,1.0709,46,1,4,83.8,5,3,2,2,4,1,5.3
339, northeast,24,1.4036,25,0,2,24.7,2,1,3,1,4,0,4.2
340,SOUTH,3,0.9123,57,1,3,42.3,1,1,-99,1,2,0,5.7
341,SOUTH,12,0.798,44,0,2,57.6,4,2,4,1,4,1,4.7
342,SOUTH,23,0.8798,54,0,3,38.4,3,2,2,4,4,0,6.5
343, northeast,7,1.2376,28,0,2,59.6,5,5,3,5,4,0,3.8
344, northeast,19,1.4119,46,1,3,75.2,-99,4,2,-99,3,1,6.9
345,Midwest ,4,1.1526,43,1,3,29.5,1,3,1,5,3,1,7.8
346,west,21,0.6777,42,0,1,22.3,4,5,5,5,4,1,5.3
347,west,13,0.7187,24,1,2,62.5,1,3,1,3,3,0,8.0
348,Midwest ,11,0.8741,50,0,4,48.3,4,5,5,2,4,1,5.8
349,Midwest ,16,1.0969,59,0,5,36.0,3,5,2,5,4,1,5.3
